LAT,LON,TIME,GROUNDWATER,RAINFALL
26.81666667,77.45,AUG 1996,0.0,40.7
26.81666667,77.45,AUG 1997,7.38,132.4
26.81666667,77.45,AUG 1998,6.83,232.4
26.81666667,77.45,AUG 1999,6.73,532.4
26.81666667,77.45,AUG 2000,7.13,432.44
26.81666667,77.45,AUG 2001,8.33,232.44
26.81666667,77.45,AUG 2002,7.26,432.44
26.81666667,77.45,AUG 2003,8.98,432.44
26.81666667,77.45,AUG 2004,8.66,139.4
26.81666667,77.45,AUG 2005,7.9,108.9
26.81666667,77.45,AUG 2006,8.9,32.44
26.81666667,77.45,AUG 2007,8.93,92.04
26.81666667,77.45,AUG 2008,7.7,176.58
26.81666667,77.45,AUG 2009,3.28,103.16
26.81666667,77.45,AUG 2010,7.93,157.52
26.81666667,77.45,AUG 2011,6.11,166.64
26.81666667,77.45,AUG 2012,0.0,284.33
26.81666667,77.45,AUG 2013,4.17,339.85
26.81666667,77.45,AUG 2014,5.06,125.24
26.81666667,77.45,AUG 2015,6.84,145.64
26.81666667,77.45,AUG 2016,4.58,189.15
26.81666667,77.45,JAN 1997,8.14,2.7
26.81666667,77.45,JAN 1998,7.53,12.31
26.81666667,77.45,JAN 1999,7.18,22.1
26.81666667,77.45,JAN 2000,6.98,23.7
26.81666667,77.45,JAN 2001,7.33,31.7
26.81666667,77.45,JAN 2002,0.0,23.7
26.81666667,77.45,JAN 2003,15.65,23.7
26.81666667,77.45,JAN 2004,14.68,2.7
26.81666667,77.45,JAN 2005,8.68,1.4
26.81666667,77.45,JAN 2006,16.13,0
26.81666667,77.45,JAN 2007,8.39,1.78
26.81666667,77.45,JAN 2008,16.14,2.7
26.81666667,77.45,JAN 2009,16.31,1.46
26.81666667,77.45,JAN 2010,14.08,3.48
26.81666667,77.45,JAN 2011,9.6,0
26.81666667,77.45,JAN 2012,8.88,24.92
26.81666667,77.45,JAN 2013,5.58,11.64
26.81666667,77.45,JAN 2014,4.24,52.31
26.81666667,77.45,JAN 2015,11.38,30.73
26.81666667,77.45,JAN 2016,5.16,1.1
26.81666667,77.45,JAN 2017,0.0,14.38
26.81666667,77.45,MAY 1996,0.0,2.7
26.81666667,77.45,MAY 1997,7.74,40.7
26.81666667,77.45,MAY 1998,8.12,10.26
